HS6,description,rate_for_canada_TPP,rate_for_china,rate_for_EU28 ,rate_for_USA_OLD,rate_for_ROW
120890,*Flours and meal of oil seeds or oleaginous fruit (excl. soya and mustard),1,1,1.042,1.042,1.042
220299,"*Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",1,1.115,1.115,1.115,1.115
382440,Prepared additives for cements,1,1,1.026,1.026,1.026
330129,*Essential oils,1,1,1.0154,1.0154,1.0154
392520,"Plastic doors, windows and  frames",1,1,1.039,1.039,1.039
81030,*Fresh redcurrants and gooseberries,1,1.03,1.06,1.06,1.06
30291,Fresh or chilled fish liverz,1,1.0637,1.0637,1.0637,1.0637
70999,Fresh or chilled vegetables ,1,1.045,1.045,1.045,1.045
30366,Frozen hake,1,1.0475,1.0475,1.0475,1.0475
81010,Fresh strawberries,1,1.06,1.06,1.06,1.06
30231,Fresh or chilled albacore or longfinned tunas,1,1.035,1.035,1.035,1.035
30399,"Frozen fish fins, heads, tails, offal",1,1.0422,1.0422,1.0422,1.0422
220710,Undenatured ethyl alcohol strength of >= 80%,1,1.0226,1.0226,1.0226,1.0226
51191,Products of fish or crustaceans,1,1,1.0043,1.0043,1.0043
